ach,com,dpa_descan,dpa_despar,dpa_despro,eac,fen,frm,nam,objectid,plz,rgm,sol,tipo_mineral,tmm,ttm
2,CERRO VERDE 1,GUALACEO,SAN JUAN,AZUAY,INSCRITA,1275368400000,EXPLOTACION,100409,28,360,REGIMEN GENERAL,CONCESION MINERA,MATERIAL DE CONSTRUCCION,PIEDRA DE RIO,RODRIGUEZ JARA NESTOR RAFAEL
73.87,MUYUYACU 1,PONCE ENRIQUEZ,PONCE ENRIQUEZ,AZUAY,INSCRITA,1274072400000,EXPLOTACION,100589.1,30,254,PEQUEÑA MINERIA,CONCESION MINERA,METALICO,ORO, MINERMUYU S.A.
22,PRIMAVERAL 3,LIMON INDANZA,GRAL LEONIDAS PLAZA GUTIERREZ((LIMON) CAB CANTONAL,MORONA SANTIAGO,INSCRITA,997333200000,EXPLORACION-EXPLOTACION,100608.1,31,257,PEQUEÑA MINERIA,CONCESION MINERA,NO METALICO,ARCILLA, COMPANIA DE INVESTIGACION Y EXPLOTACION MINERA EXPLOMINAS S.A.
2130,MIGUIR,CUENCA,MOLLETURO,AZUAY,INSCRITA,1270702800000,EXPLOTACION,100666,32,277,MEDIANA MINERIA,CONCESION MINERA,METALICO,ORO, ECUAGOLDMINING SOUTH AMERICA S.A.
19,CANTERA TOMEBAMBA,CUENCA,NULTI,AZUAY,INSCRITA,1273208400000,EXPLOTACION,100748,33,360,REGIMEN GENERAL,CONCESION MINERA,MATERIAL DE CONSTRUCCION,PIEDRA DE RIO, AGROINDUSTRIAL TOMEBAMBA CA
21,TITO 1,PAUTE,EL CABO,AZUAY,INSCRITA,1276837200000,EXPLORACION-EXPLOTACION,100803,34,360,PEQUEÑA MINERIA,CONCESION MINERA,MATERIAL DE CONSTRUCCION,ARIDOS Y PETREOS,VERA LOJA VICTOR LEOPOLDO 
8,NUEVO PLAN,LIMON INDANZA,INDANZA,MORONA SANTIAGO,INSCRITA,1287205200000,EXPLORACION-EXPLOTACION,100855.1,35,256,PEQUEÑA MINERIA,CONCESION MINERA,NO METALICO,ARCILLA, EXPLOTACION MINERA DEL SUR EXPLOSUR C. A.
18,SAN JOSE I,CUENCA,SAN JOAQUIN,AZUAY,INSCRITA,1273122000000,EXPLORACION-EXPLOTACION,100857,36,255,PEQUEÑA MINERIA,CONCESION MINERA,NO METALICO,ARCILLA, EXPLOTACION MINERA DEL SUR EXPLOSUR C. A.
23,PLAYA SECA 2,LA TRONCAL,LA TRONCAL,CAÑAR,INSCRITA,1276837200000,EXPLOTACION,101007,38,60,PEQUEÑA MINERIA,CONCESION MINERA,MATERIAL DE CONSTRUCCION,ARIDOS Y PETREOS,SANMARTIN GRANDA JULIO AURELIO
318,LA DELICIA,LA TRONCAL,LA TRONCAL,CAÑAR,INSCRITA,1272603600000,EXPLORACION-EXPLOTACION,101054.1,39,256,PEQUEÑA MINERIA,CONCESION MINERA,NO METALICO,ARCILLA,DUTAN PEREZ FREDY RENE
